headline,category,authors,id,day and month
hip hop make better cheese mozart swiss researchers,FOOD & DRINK,"By Denis Balibouse and Cecile Mantovani, Reuters",7093,Fri_Mar
ugandan climate activist vanessa nakate address crop davos photo,WORLD NEWS,Kimberley Richards,5393,Sat_Jan
remington file chapter 11 bankruptcy amid mount pressure gun control,BUSINESS,"Tom Hais, Reuters",11986,Mon_Mar
desmond tutu south african equality activist die 90,WORLD NEWS,"Andrew Meldrum, AP",1427,Sun_Dec
kid across us write book female heroes,WOMEN,Sarah Ruiz-Grossman,16875,Sat_Jan
cornell frats pig roast give point sex heaviest woman,COLLEGE,Ron Dicker,14783,Wed_Feb
40 tweet sum life 4yearolds,PARENTS,Caroline Bologna,14868,Tue_Feb
8 best beauty buy ultas massive fall sale,STYLE & BEAUTY,Brittany Nims,8083,Wed_Sep
2020 go year sobercurious movement,FOOD & DRINK,Julie Kendrick,4932,Fri_Apr
paleontologist talk fossil find lifetime area cut bear ears,SCIENCE,Chris D'Angelo,11801,Thu_Mar
golden globes look like 1998,STYLE,Julia Brucculieri,16961,Fri_Jan
uber still lose carloads money,BUSINESS,Ryan Grenoble,14298,Wed_Feb
hillary clinton top democrats rally vote right anniversary selma march,POLITICS,Daniel Marans,7159,Sun_Mar
chris cuomo rip rick scott adviser theres damn bite proof voter fraud,MEDIA,David Barden,7802,Tue_Nov
happen stock enter bear market,MONEY,"Alex Viega, AP",5182,Thu_Mar
know go beach summer,TRAVEL,Caroline Bologna,4585,Tue_Jun
report paul haggis detain italy sex assault case,ENTERTAINMENT,"The Associated Press, AP",493,Sun_Jun
best mocktails order bar,TASTE,Kristen Aiken,17138,Wed_Jan
man jump move airplane los angeles international airport,U.S. NEWS,,2464,Sat_Jun
barack obamas memoir promise land good good enough,CULTURE & ARTS,Claire Fallon,3685,Tue_Nov
deepfreeze forecast threaten south beach snow,GREEN,Ryan Grenoble,17173,Tue_Jan
mysterious yellowstone geyser eruptions stump scientists,SCIENCE,Mary Papenfuss,10102,Mon_Apr
10 death row inmates oklahoma could get new trials,U.S. NEWS,"Sean Murphy, Associated Press",3148,Sat_Feb
simple way grow number state hop improve kid brain,EDUCATION,"The Hechinger Report, Editorial Partner",13914,Wed_Feb
tesla autopilot engage horrific 60 mph crash driver tell police,TECH,Mary Papenfuss,9242,Tue_May
mario badescus dry lotion half ulta today,STYLE & BEAUTY,Danielle Gonzalez,7005,Sat_Mar
russian bobsledder nadezhda sergeeva fail dope test,SPORTS,,13752,Fri_Feb
lowprofile ransomware attack continue highprofile case slow,BUSINESS,"Eric Tucker and Alan Suderman Washington, AP",1468,Sat_Dec
democratic lawmakers ask trump legal bomb syria,POLITICS,Jennifer Bendery,10660,Thu_Apr
everything need know libra facebooks new cryptocurrency,MONEY,Casey Bond,6596,Thu_Jun
sinclair force local news anchor recite trumpiansounding promos report,MEDIA,Willa Frej,12975,Thu_Mar
12 crueltyfree coat thatll keep warm without fur,STYLE,Amanda Pena,16622,Wed_Jan
chuck e cheese offer sensory sensitive sundays special need children,EDUCATION,Sebastian Murdock,11315,Sat_Apr
personality traits could put risk social media addiction,SCIENCE,"Rachael Rettner, Live Science",12649,Wed_Mar
lullaby algebra mix music math help engage students,EDUCATION,"EdSource, Editorial Partner",11681,Fri_Mar
us energy regulator reject plan aid coal nuclear,GREEN,"Timothy Gardner, Reuters",16740,Mon_Jan
j k rowling troll trump cancel uk visit cluck great emoji,ARTS & CULTURE,Lee Moran,16418,Fri_Jan
6 breathtaking destinations cell service next vacation,TRAVEL,"PureWow, Editorial Partner",14792,Wed_Feb
make dirty shirley unofficial drink summer,FOOD & DRINK,Julie Kendrick,411,Fri_Jul
expertbacked foolproof guide go dry month,HEALTHY LIVING,"Gemma Hartley, On Assignment For HuffPost",16799,Mon_Jan
open clean delivery package coronavirus pandemic,HOME & LIVING,Maija Kappler,5143,Thu_Mar
expectant mom pose glamorous maternity pics taco bell,PARENTS,David Moye,16337,Sat_Jan
apple cofounder steve wozniak ditch facebook data scandal,BUSINESS,Ed Mazza,11259,Mon_Apr
15 excellent british clothe brand ship us,STYLE,Brittany Nims,17223,Tue_Jan
shakira malumas trap music video finally,LATINO VOICES,Carolina Moreno,15467,Fri_Jan
quarter worlds land permanently drier paris climate goals meet study,GREEN,Willa Frej,17183,Tue_Jan
say kid fave youtube star cross line,PARENTS,"Common Sense Media, ContributorWe rate, educate, and advocate for kids, families, and schools.",16931,Fri_Jan
marie kondo say tidy age wfh,HOME & LIVING,Caroline Bologna,4009,Tue_Sep
new netflix july 2022 persuasion virgin river,HOME & LIVING,Caroline Bologna,474,Thu_Jun
covid immunity may like 4th shoot,WELLNESS,Julia Ries,891,Thu_Apr
libertarian political movement dead,BUSINESS,Zach Carter,11123,Wed_Apr
victims jersey city shoot,RELIGION,Carol Kuruvilla,5638,Wed_Dec
trump deserve credit black jobless plunge,BLACK VOICES,"Earl Ofari Hutchinson, ContributorEarl Ofari Hutchinson is an author and political analyst",16486,Thu_Jan
bully laugh boys diy college shirt official design,U.S. NEWS,Josephine Harvey,6174,Mon_Sep
legendary olympic athlete take tokyo game follow sexism backlash,WORLD NEWS,"STEPHEN WADE, AP",3193,Thu_Feb
tony robbins apologize amid backlash comment,WOMEN,Hayley Miller,11293,Sun_Apr
protesters throw fiesta razz lawyer rant spanish speakers,LATINO VOICES,Mary Papenfuss,9025,Sat_May
lovely quote parenthood john legend,PARENTING,Caroline Bologna,5534,Sat_Dec
new york time respond backlash mormons late leaders obit,RELIGION,Antonia Blumberg,16695,Tue_Jan
jam franco accusers ask please apologize,WOMEN,Sara Boboltz,15718,Tue_Jan
experts say teachers prioritize covid19 vaccine,PARENTING,Catherine Pearson,3640,Wed_Dec
hundreds black women georgia get 850 per month guarantee income,BLACK VOICES,Sarah Ruiz-Grossman,1525,Wed_Dec
south dakotas ag report hit deer car actually kill man,CRIME,Sanjana Karanth,4098,Mon_Sep
massachusetts woman win trip new hampshire price right,WEIRD NEWS,,1199,Thu_Feb
new yorker cover put trump hole racist comment,ARTS & CULTURE,Sara Boboltz,16372,Fri_Jan
kevin durant slamdunking super slow motion thing real beauty,SPORTS,Lee Moran,14723,Wed_Feb
4 men stand around woman scrub happy international womens day step,WOMEN,Sebastian Murdock,12858,Sat_Mar
texas gov greg abbott order investigation karolyi ranch allegations,SPORTS,Lydia O'Connor,15295,Tue_Jan
spectacular supermoon get 2018 heavenly start,SCIENCE,Lee Moran,17171,Tue_Jan
8 college degrees lowest unemployment rat,MONEY,"Aarthi Swaminathan, Yahoo Finance",6823,Mon_May
common covid19 booster shoot question answer,WELLNESS,Catherine Pearson,2156,Wed_Aug
funniest tweet parent week may 28,PARENTING,Caroline Bologna,4853,Fri_May
linmanuel miranda vanessa nadal welcome second baby boy,LATINO VOICES,Carolina Moreno,15056,Fri_Feb
ex text christmas theres name,HEALTHY LIVING,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",17075,Wed_Jan
naomi osaka beat jennifer brady win second australian open,SPORTS,"Ian Ransom, REUTERS",3183,Sat_Feb
trevor noah work trump schlong takedown shutdown,COMEDY,Ron Dicker,7429,Thu_Jan
southern baptist leader say abuse women pray remove post,RELIGION,Willa Frej,8820,Wed_May
montana become first state set net neutrality rule,TECH,Mary Papenfuss,15755,Tue_Jan
doctor collect 650 tablets covid19 patients say final goodbyes,WELLNESS,Brittany Wong,4972,Fri_Apr
new york time journalists break harvey weinstein story get movie,MEDIA,Marina Fang,10307,Thu_Apr
emilia clarke dish final game throne scene,ENTERTAINMENT,Ron Dicker,8725,Fri_May
colbert blister extra question mueller ask trump,COMEDY,Ed Mazza,9946,Wed_May
fashion beauty brand pledge support black influencers,STYLE & BEAUTY,Reginald Larkin,2936,Wed_Apr
6 ways logan paul could actually raise suicide awareness,HEALTHY LIVING,Lindsay Holmes,17187,Tue_Jan
body dry january,HEALTHY LIVING,"Ashley Davidson, On Assignment For HuffPost",17128,Wed_Jan
investors urge apple tackle grow evidence device addiction kid,TECH,Hayley Miller,16770,Mon_Jan
texas district say students protest gun violence get suspend,EDUCATION,Hayley Miller,13922,Wed_Feb
couple face cruelty charge live plywood box children,CRIME,Carla Herreria,13355,Fri_Mar
take virtual disney vacation stun new google street view map,TRAVEL,Ed Mazza,13094,Wed_Mar
australian officials fear 30 regions koalas kill wildfires,ENVIRONMENT,Mary Papenfuss,5533,Sat_Dec
maame bineys pioneer run winter olympics,SPORTS,Ron Dicker,14114,Sat_Feb
cardi b talk movement justice video vixens new interview,WOMEN,Jenna Amatulli,12324,Tue_Mar
los angeles vs san francisco city rule west coast,TRAVEL,Gabriela Kruschewsky,10461,Tue_Apr
hispanic media coalition accuse academy institutionalize racism,LATINO VOICES,Carolina Moreno,15640,Wed_Jan
11 survivors school gun violence share still reverberate live,WELLNESS,Brittany Wong,610,Fri_May
broadway actor ben vereen accuse sexual assault 2015 hair production,ARTS & CULTURE,Alanna Vagianos,16892,Fri_Jan
russias antigay policies keep fan away world cup,QUEER VOICES,"Jim Buzinski, Outsports",10829,Mon_Apr
get michelle obamas vote necklace,STYLE & BEAUTY,Jamie Feldman,4253,Tue_Aug
climate change quadruple ocean dead zone researchers warn,GREEN,Mary Papenfuss,16874,Sat_Jan
presson nail know easy chic trend,STYLE & BEAUTY,Patrice J. Williams,4043,Wed_Sep
weird american restaurants serve ice water winter,TASTE,Todd Van Luling,16173,Tue_Jan
fuel leak ruin nasas 2nd shoot launch new moon rocket,SCIENCE,"Marcia Dunn, AP",114,Sat_Sep
someone shoot kill dolphin coast california,ENVIRONMENT,Hilary Hanson,7782,Sat_Nov
raw sewage spill shut beach southern california,U.S. NEWS,,1131,Tue_Feb
watch netflix thats new week march 1723,HOME & LIVING,Todd Van Luling,7044,Sat_Mar
2020 harry style style gift,STYLE & BEAUTY,Jamie Feldman,3472,Wed_Dec
tiny soccer club fight survival new york investment fund,IMPACT,"Angus Harrison, On assignment for HuffPost",10543,Sat_Apr
homemade dog treat recipes pet deserve thank,FOOD & DRINK,Julie Kendrick,4914,Mon_Apr
week somerville massachusetts 90000 salary,HEALTHY LIVING,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",16635,Wed_Jan
nurse fire say stephon clark deserve die raise 20000,BLACK VOICES,Jenna Amatulli,11497,Wed_Apr
afghanistan announce ceasefire taliban insurgents june 20,WORLD NEWS,,8619,Thu_Jun
facetime users urge disable app eavesdrop bug,TECH,Amy Russo,7356,Tue_Jan
trendiest baby name late 80s,PARENTS,Caroline Bologna,15198,Wed_Jan
2020 comedy wildlife photography finalists delightfully sealy,ENVIRONMENT,Elyse Wanshel,4119,Thu_Sep
christina aguilera guest judge rupauls drag race season premiere,QUEER VOICES,James Michael Nichols,13424,Thu_Mar
aps factchecking shutdown tweet go viral wrong reason,MEDIA,Lee Moran,7474,Wed_Jan
emily paris bore basic sponsor instagram story,CULTURE & ARTS,Claire Fallon and Emma Gray,3995,Fri_Oct
new food drink look forward 2021,FOOD & DRINK,Lee Breslouer,3482,Mon_Dec
2 ahmaud arberys killers withdraw guilty pleas face federal hate crime trial,CRIME,Phillip Jackson,1234,Fri_Feb
tiny hole bottom windows plan,TRAVEL,,13803,Fri_Feb
stranger things star david harbour officiate fan wed,WEDDINGS,Brittany Wong,8138,Mon_Sep
statue harvey weinstein cast couch appear hollywood boulevard,WOMEN,Jenna Amatulli,13316,Fri_Mar
green energy project leave mississippi town gasp air,ENVIRONMENT,Alexander C. Kaufman,1471,Sat_Dec
favorite amazon swimsuit isnt sale prime day lookalike,STYLE & BEAUTY,Danielle Gonzalez,6457,Tue_Jul
biden introduce climate team say time waste,ENVIRONMENT,"Kevin Freking, AP",3531,Sun_Dec
jimmy kimmel unveil amazons new trumpproof delivery service,COMEDY,Lee Moran,11458,Wed_Apr
maryland police charge 3 church leaders past abuse atrisk teen girls,CRIME,Carol Kuruvilla,8859,Wed_May
anthropocene documentary show humans wreak havoc planet,CULTURE & ARTS,Brooke Shuman,6074,Fri_Sep
frida kahlo historic women make barbies,WOMEN,Alanna Vagianos,13154,Tue_Mar
new offshore drill analysis show trump plan put stake,POLITICS,Chris D'Angelo,13051,Wed_Mar
dave chappelle shred white house take offense michelle wolf joke,COMEDY,Ed Mazza,10057,Tue_May
freezedry breast milk,PARENTING,Marie Holmes,123,Thu_Sep
fertility treatment put many families debt heres manage,WELLNESS,Caroline Bologna,278,Fri_Aug
read look dead piece wood hours hallucinate,WEIRD NEWS,Lee Moran,15987,Fri_Jan
hitchhike roadrunner somehow end maine,WEIRD NEWS,,1651,Tue_Nov
11 holiday host essentials get 50,HOME & LIVING,Katelyn Mullen,7791,Thu_Nov
eat shake shack make feel healthier diet ever,HEALTHY LIVING,"Colleen Werner, ContributorCampus Editor-at-Large",16367,Fri_Jan
go talk australians wonder climate change come,ENVIRONMENT,Nick Visser,5724,Tue_Nov
wean child security blanket stuff animal pacifier,PARENTS,"Fatherly , ContributorFatherly is a publication for modern fathers looking to make t...",17130,Wed_Jan
topless protester say bill cosby disempowered womens body decades,WOMEN,Alanna Vagianos,11182,Tue_Apr
tsa tell sikh man remove turban find hes canadian politician,RELIGION,Carol Kuruvilla,9448,Fri_May
blackowned etsy jewelry shop support always,STYLE & BEAUTY,Danielle Gonzalez,4689,Fri_Jun
heres great way talk kid safety school,QUEER VOICES,Curtis M. Wong,12781,Mon_Mar
activists launch voter registration drive black panther screen,BLACK VOICES,Philip Lewis,14129,Sat_Feb
man surprise girlfriend draw different animation style,ARTS & CULTURE,Elyse Wanshel,16602,Wed_Jan
8 things people diagnose coronavirus want know,WELLNESS,Julia Ries,5122,Mon_Mar
facebook bug ask users puppies bahamas vacation hate speech,TECH,Ryan Grenoble,10028,Tue_May
coastal protection bipartisan moment resistance,GREEN,"Carl Pope, ContributorPrincipal Advisor at Inside Straight Strategies",16852,Sat_Jan
cyberattack prompt los angeles school district shut computer systems,EDUCATION,"Stefanie Dazio, Frank Bajak and Zeke Miller, AP",94,Wed_Sep
cartoon perfectly sum back work holiday feel,ARTS & CULTURE,Lee Moran,17206,Tue_Jan
facebook remove 500 million fake account first quarter 2018,TECH,Willa Frej,9193,Wed_May
eat healthy work home,FOOD & DRINK,Stephanie Vermillion,5142,Thu_Mar
former south korean president park geunhye sentence 24 years bribery abuse power,WORLD NEWS,"Hyonhee Shin and Heekyong Yang, Reuters",11331,Fri_Apr
nj principal floor oprah winfrey surprise school 500000 gift,BLACK VOICES,Hayley Miller,6764,Sun_May
26 kitchen products amazon thousands 5star review,FOOD & DRINK,"Avery Felman and Abby Kass, BuzzFeed Shopping",2642,Thu_May
warriors coach steve kerr call nfl ban protest fake patriotism,BLACK VOICES,Sebastian Murdock,8701,Fri_May
mel b suggest spice girls perform prince harry meghan markles wed,ENTERTAINMENT,Carly Ledbetter,13589,Tue_Feb
girls reportedly bleed pant due charter school bathroom policy,EDUCATION,Doha Madani,10054,Tue_May
trump influential white nationalist troll middlebury grad live manhattan,POLITICS,Luke O'Brien,11454,Thu_Apr
saoirse ronans stun style evolution years,STYLE,Julia Brucculieri,15967,Fri_Jan
actually get bartenders attention,TASTE,Taylor Pittman,16516,Thu_Jan
less 1 ounce marijuana lead arrest 60 georgia partygoers,CRIME,Dominique Mosbergen,17134,Wed_Jan
mike flaw allure authorize biopics,CULTURE & ARTS,Candice Frederick,204,Thu_Aug
pineapple casserole southern dish thats paradox flavor,TASTE,Kristen Aiken,16242,Tue_Jan
cold canadian zoo take extra precautions protect penguins,GREEN,Carol Kuruvilla,17102,Wed_Jan
bloopers keep come news reporters work home,WEIRD NEWS,David Moye,4757,Mon_May
mcdonalds customer pull gun give ketchup instead jelly police,WEIRD NEWS,,5674,Thu_Dec
scientists note asteroid approach earth look like wear face mask,SCIENCE,Josephine Harvey,4919,Mon_Apr
historic victory barbados elect first female prime minister,BLACK VOICES,Kenya Downs,8702,Fri_May
donald trump expose new yorker cover,MEDIA,Mary Papenfuss,12453,Sat_Mar
uber end force arbitration individual case sexual assault harassment,BUSINESS,Emily Peck,9278,Tue_May
2018 already violent start,CRIME,David Lohr,17249,Mon_Jan
podcasters offer 100k reward information 2pacs killers,ENTERTAINMENT,Jazmin Tolliver,49,Thu_Sep
serena williams cover vogue baby girl alexis olympia,STYLE,Carly Ledbetter,16636,Wed_Jan
dramatic videos show deadly flood china,ENVIRONMENT,Sarah Ruiz-Grossman,2318,Wed_Jul
heres day drink affect body differently accord experts,FOOD & DRINK,Emily Laurence,596,Mon_May
skittle manchego blast satisfy space station crew crave,U.S. NEWS,"Marcia Dunn, AP",5293,Sun_Feb
stories christmas sale go live early,STYLE & BEAUTY,Ambar Pardilla,5567,Mon_Dec
pope accuse clergy sex abuse victims slander,RELIGION,Mary Papenfuss,15995,Fri_Jan
cable news chyrons tell bizarre story trump first year office,COMEDY,Andy McDonald,15910,Sat_Jan
woman burn death testify grave,CRIME,David Lohr,10823,Tue_Apr
gay olympian adam rippon dont think mike pence real concept reality,QUEER VOICES,Curtis M. Wong,16129,Wed_Jan
house crisis make parent pipe dream,PARENTING,Kimberly Alters,7384,Thu_Jan
trump say shithole shithouse really doesnt matter,POLITICS,Nick Wing,16165,Tue_Jan
andy richters parent tweet hilarious,PARENTS,Caroline Bologna,15821,Mon_Jan
8 brand turn beauty routine activism,STYLE,Julia Brucculieri,16633,Wed_Jan
asian market take tumble us stock decline,BUSINESS,"Hideyuki Sano, Reuters",14798,Tue_Feb
kim kardashian get involve alice johnsons case could change life,U.S. NEWS,Carla Baranauckas,8614,Fri_Jun
brits battle brexit frustrations brexfit workout,WEIRD NEWS,,8076,Fri_Sep
chinas death toll coronavirus rise 259 urge preparation,WORLD NEWS,"Joe McDonald and Sam McNeil, AP",5363,Sat_Feb
solutions coronavirus climate change,IMPACT,Amanda Schupak,4991,Tue_Apr
heck air fryers work anyway,TASTE,Brittany Nims,17144,Wed_Jan
exgop lawmaker time vote republicans get gun control,MEDIA,Ed Mazza,14214,Thu_Feb
hawaii move ban gay conversion therapy minors,QUEER VOICES,Alanna Vagianos,10125,Mon_Apr
spotify stop promote r kellys music sexual assault allegations,ENTERTAINMENT,Marina Fang,9466,Thu_May
snl audition oscar host replace comedian kevin hart,COMEDY,Andy McDonald,7615,Sun_Dec
scientists celebrities share emotional tributes stephen hawk,SCIENCE,Ed Mazza,12639,Wed_Mar
cardi b rapper first 3 single top 10 simultaneously,LATINO VOICES,Carolina Moreno,17212,Tue_Jan
felony charge father toddler shoot pregnant mom,CRIME,David Moye,10559,Sat_Apr
us mint make fruit bat quarter need,MONEY,Casey Bond,5480,Wed_Jan
buy nothing group stop spend money ask need,MONEY,Casey Bond,5239,Fri_Feb
introduce firstever clothe line design resold,STYLE & BEAUTY,Danielle Gonzalez,7882,Wed_Oct
katie couric skate thin ice dutch olympics fan,MEDIA,Ed Mazza,14465,Mon_Feb
court rule california be fish protections,ENVIRONMENT,Mary Papenfuss,576,Fri_Jun
take covid rapid test may want swab nose throat,WELLNESS,Julia Ries,1395,Sat_Jan
puerto rico governor vow remain office violent protest,U.S. NEWS,,6459,Tue_Jul
fastestgrowing job state,MONEY,"Adriana Belmonte, Yahoo Finance",7319,Mon_Feb
serena williams write reality many black mother face give birth,PARENTS,Carly Ledbetter,16217,Tue_Jan
navy vet watershed student loan bankruptcy rule,MONEY,"Aarthi Swaminathan, Yahoo Finance",5456,Mon_Jan
8 wellness trend wed like leave behind 2019,WELLNESS,Julia Ries,5639,Tue_Dec
18 ways make home look cleaner,HOME & LIVING,"Danielle Healy, Samantha Wieder, BuzzFeed Shopping",2024,Sat_Sep
ap photographer leg lose seek answer disability paralympians,CULTURE & ARTS,"Emilio Morenatti, AP",2045,Tue_Sep
heres 10piece winter capsule wardrobe checklist,STYLE,Amanda Pena,16150,Wed_Jan
artist flip face mask things olympic beauty,CULTURE & ARTS,Lee Moran,2260,Sat_Jul
7 surprise things ban disney park 3 totally fine,TRAVEL,"PureWow, Editorial Partner",15379,Mon_Jan
cop search ross friends lookalike suspect theft,WEIRD NEWS,David Barden,7920,Wed_Oct
image show tragedy mass consumption change possible,IMPACT,"Chris Jordan, ContributorArtist, photographer and director.",17126,Wed_Jan
scientists turn dna technology search loch ness monster,SCIENCE,,8829,Wed_May
lindsey jacobellis suffer winter olympics heartbreak,SPORTS,Ron Dicker,14166,Fri_Feb
philip morris say try give cigarettes 2018,BUSINESS,Rebecca Shapiro,16986,Thu_Jan
meet museum change payasyouwish admission policy,ARTS & CULTURE,Carolina Moreno,16984,Thu_Jan
coronavirus reveal invisible inequalities food system,IMPACT,Tom Levitt,4999,Mon_Apr
shelter call old chair go viral pet couldnt happier,WEIRD NEWS,Ed Mazza,12920,Fri_Mar
prosecution rest sexabuse trial ghislaine maxwell,CRIME,"Larry Neumeister and Tom Hays, AP",1506,Sat_Dec
15 time run water match crazy cold weather,GREEN,Chris McGonigal,17145,Tue_Jan
meghan markle prince harry officially do sussex royal instagram,ENTERTAINMENT,Carly Ledbetter,5076,Mon_Mar
battle save die soil,IMPACT,"Anna Leach, On Assignment For HuffPost",9129,Thu_May
20 childrens book spark important discussions race tolerance,PARENTS,"Motherly, ContributorYour #momlife manual—inspiration, ideas + expert advice",16849,Sun_Jan
test new tearless onions see really work,TASTE,Kristen Aiken,16776,Mon_Jan
average us gas price rise 22 two weeks record 443,U.S. NEWS,,1026,Sun_Mar
trump still beg georgia officials overturn 2020 election result,POLITICS,Sara Boboltz,1990,Fri_Sep
bounce around colorado spring dead winter,TRAVEL,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",17101,Wed_Jan
paul manaforts plea deal could bad news bunch washington operatives,POLITICS,"Jessica Schulberg, Ryan J. Reilly, and Paul Blumenthal",8153,Sat_Sep
sculpture international ice snow festival mindboggling,ARTS & CULTURE,Andy McDonald and Damon Dahlen,16933,Fri_Jan
mention default negotiate private student loan debt,MONEY,Casey Bond,8276,Fri_Aug
twitter say may share user data ad partner without permission,U.S. NEWS,Dominique Mosbergen,6349,Wed_Aug
prevent child identity theft freeze kid credit,MONEY,Casey Bond,8062,Sun_Sep
bet chairman ceo debra lee step,BLACK VOICES,Carla Baranauckas,8705,Fri_May
pope francis condemn spread fake news evil,RELIGION,Carol Kuruvilla,15622,Wed_Jan
area plastic great pacific garbage patch three time size france,IMPACT,Laura Paddison,12176,Thu_Mar
jimmy kimmel ask people take side donald trumpmlk twitter feud,COMEDY,Lee Moran,16221,Tue_Jan
research find hysterectomy alone associate increase longterm health risk,HEALTHY LIVING,"Mayo Clinic Women's Health, ContributorOptimizing women's health and well-being throughout their life...",17027,Thu_Jan
exactly word beauty products mean,HEALTHY LIVING,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",17100,Wed_Jan
tom brady cut interview host call daughter annoy pissant,SPORTS,Ron Dicker,15390,Mon_Jan
photos freeze niagara fall pure icy magic,GREEN,Chris McGonigal,16963,Fri_Jan
16 totally relatable tweet life introvert,HEALTHY LIVING,Sarah Bourassa,17193,Tue_Jan
diet coke millennialinspired makeover leave people befuddle,TASTE,Abigail Williams,16599,Wed_Jan
el paso shoot suspect say target mexicans police,U.S. NEWS,"Cedar Attanasio, Jake Bleiberg and Paul J. Weber, AP",6337,Fri_Aug
heavy snow high wind pound east coast,GREEN,"Gina Cherelus and Scott Malone, Reuters",17026,Thu_Jan
27 perfect tweet whole30 make lol,HEALTHY LIVING,Lindsay Holmes,16601,Wed_Jan
best place buy seafood online include fresh freeze fish,HOME & LIVING,Danielle Gonzalez,4703,Wed_Jun
heres exactly book international flight base new data million airfares,TRAVEL,"PureWow, Editorial Partner",11127,Wed_Apr
university arizona prevent coronavirus outbreak campus test wastewater,EDUCATION,Jenna Amatulli,4204,Thu_Aug
prince harry meghan markle make first public appearance 2018,STYLE,Abigail Williams,16727,Tue_Jan
24 black food bloggers chefs follow instagram,FOOD & DRINK,Patrice J. Williams,4662,Wed_Jun
jillian michaels freak daughter say gay gross,QUEER VOICES,Curtis M. Wong,10433,Tue_Apr
stephen colbert troll old white guy bernie sanders tonedeaf diversity comment,COMEDY,Ed Mazza,7227,Wed_Feb
monster energy vice president accuse sexual harassment resign,BUSINESS,Emily Peck,15195,Wed_Jan
asianamerican creatives come together new hashtag damn beautiful,ARTS & CULTURE,Kimberly Yam,17192,Tue_Jan
california mudslides deadly,GREEN,Antonia Blumberg,16529,Thu_Jan
get holiday shop do asap,MONEY,Caroline Bologna,1796,Thu_Oct
hurricane ida predict hit louisiana katrina anniversary,ENVIRONMENT,"Kevin McGill and Janet McConnaughey, AP",2105,Fri_Aug
suicide attempt among black teens increase,PARENTING,Catherine Pearson,5980,Mon_Oct
protest iran another green movement,WORLD NEWS,Jesselyn Cook,16914,Fri_Jan
olympic sprint king lamont marcell jacobs reconnects american father last saw infant,SPORTS,Ron Dicker,2246,Mon_Aug
talk kid antiasian violence racism,PARENTING,Brittany Wong,2865,Mon_Apr
russia bar fly flag olympic game close ceremony,SPORTS,,13671,Sun_Feb
watch drone save two teen swimmers heavy surf australia,TECH,Sebastian Murdock,16054,Thu_Jan
facebook get online date business,TECH,"Daniel Howley, Yahoo Finance",10016,Tue_May
animals could speak wed probably eat lot less,WEIRD NEWS,Lee Moran,7903,Sat_Oct
